,Date,WL,FG,FGA,FG%,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,GmSc
197,1998-05-08,W,9.0,20.0,0.45,0.0,1.0,9.0,10.0,5.0,6.0,1.0,0.0,3.0,27.0,19.9
198,1998-05-10,W,14.0,31.0,0.452,0.0,1.0,3.0,3.0,3.0,4.0,1.0,0.0,2.0,31.0,17.2
199,1998-05-13,W,15.0,29.0,0.517,0.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,0.0,33.0,23.5
201,1998-05-17,W,11.0,28.0,0.39299999999999996,0.0,0.0,9.0,10.0,6.0,1.0,5.0,0.0,1.0,31.0,22.3
202,1998-05-19,W,13.0,22.0,0.591,0.0,1.0,15.0,18.0,4.0,5.0,4.0,0.0,0.0,41.0,37.1
203,1998-05-23,L,9.0,22.0,0.409,2.0,3.0,10.0,12.0,4.0,7.0,1.0,0.0,5.0,30.0,18.7
204,1998-05-25,L,12.0,27.0,0.444,1.0,3.0,3.0,4.0,5.0,2.0,0.0,2.0,6.0,28.0,11.0
205,1998-05-27,W,12.0,20.0,0.6,2.0,4.0,3.0,4.0,7.0,4.0,1.0,1.0,0.0,29.0,25.6
206,1998-05-29,L,12.0,23.0,0.522,1.0,4.0,10.0,11.0,5.0,2.0,1.0,0.0,3.0,35.0,23.0
207,1998-05-31,W,9.0,25.0,0.36,0.0,0.0,10.0,15.0,9.0,8.0,0.0,0.0,2.0,28.0,19.2
209,1998-06-03,L,13.0,29.0,0.44799999999999995,1.0,2.0,6.0,8.0,3.0,2.0,0.0,2.0,0.0,33.0,20.0
210,1998-06-05,W,14.0,33.0,0.424,0.0,2.0,9.0,10.0,5.0,3.0,1.0,1.0,0.0,37.0,24.8
211,1998-06-07,W,7.0,14.0,0.5,0.0,0.0,10.0,11.0,3.0,2.0,1.0,1.0,2.0,24.0,18.6
212,1998-06-10,W,12.0,27.0,0.444,0.0,0.0,10.0,15.0,8.0,2.0,2.0,0.0,3.0,34.0,21.5
213,1998-06-12,L,9.0,26.0,0.34600000000000003,0.0,2.0,10.0,11.0,4.0,4.0,3.0,0.0,4.0,28.0,14.8
214,1998-06-14,W,15.0,35.0,0.429,3.0,7.0,12.0,15.0,1.0,1.0,4.0,0.0,1.0,45.0,28.5
